"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CALN1",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"FGF13",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"RBM12B",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"LEMD3",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"SLC7A5",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"SLC25A39",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"PCYT2",3.4594316186373,1.1531438728791,40.8371486239159,2.21988507875093e-07,1.98080378481448e-05,7.74853114388809
"TFDP2",5.21835577106861,1.73945192368954,40.6611485898511,2.26709083865921e-07,1.98080378481448e-05,7.73497849715277
"HSPA4",3.99717671842943,1.33239223947648,40.6275333426368,2.2762439169309e-07,1.98080378481448e-05,7.7323771753317
"LASP1",3.99717671842943,1.33239223947648,40.6275333426368,2.2762439169309e-07,1.98080378481448e-05,7.7323771753317
"CREB1",3.99717671842943,1.33239223947648,40.6275333426368,2.27624391693091e-07,1.98080378481448e-05,7.7323771753317
"TRMT2A",3.99717671842943,1.33239223947648,40.6275333426368,2.27624391693091e-07,1.98080378481448e-05,7.7323771753317
"PSMD14",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"PTPN23",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"ADAMTS9",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"TRIM27",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"GNAI1",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"NDUFB2",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"LAS1L",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"RALYL",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"SRSF8",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"CSK",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"DNMT1",3.64270110943112,1.21423370314371,40.2265844387023,2.38892427421255e-07,1.98080378481448e-05,7.70102871419723
"SERBP1",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"NCKIPSD",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"LSG1",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"ERI1",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"MTSS1",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"ZIC2",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"DICER1-AS1",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"SETBP1",3.64270110943112,1.21423370314371,40.2265844387022,2.38892427421258e-07,1.98080378481448e-05,7.70102871419722
"HSF4",5.17877600230904,1.72625866743635,39.7286284169761,2.53836698735061e-07,1.98080378481448e-05,7.66125580569883
"FGF12",4.20469546806885,1.40156515602295,39.3854613537662,2.64793233442957e-07,1.98080378481448e-05,7.63329117325908
"PSMB4",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"POGK",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"ACBD3",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"RP11-26J3.1",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"RP11-586K2.1",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"LRRC6",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"ZNF143",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"FBXL15",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"LGMN",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"COX5A",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"COA3",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"RP11-35G9.5",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"CEBPG",3.32192809488736,1.10730936496245,39.2139768273014,2.70481463902901e-07,1.98080378481448e-05,7.61914376040887
"USP40",4.06206065591459,2.3540202186382,39.1788517887741,2.71664670671643e-07,1.98080378481448e-05,7.61623156105738
"EPB42",3.9036774610288,1.30122582034293,38.9866275888698,2.78251359630513e-07,1.98080378481448e-05,7.60020696270604
"SNX1",3.9036774610288,1.30122582034293,38.9866275888698,2.78251359630513e-07,1.98080378481448e-05,7.60020696270604
"TFRC",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"FKBP9",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"ZNF804B",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"RP11-16P20.3",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"FAM110B",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"FAM124A",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"OSER1",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"CA11",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"TOM1",3.52219705967923,1.17406568655974,38.4619967044823,2.97231398099752e-07,1.98080378481448e-05,7.55570810672346
"PIGK",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"RASGRP3",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"MITF",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"HADH",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"GCN1",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"TMEM220",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"MED9",3.52219705967923,1.17406568655974,38.4619967044822,2.97231398099755e-07,1.98080378481448e-05,7.55570810672346
"EXOC7",4.3857447347503,1.46191491158343,38.4513496145866,2.97632454564653e-07,1.98080378481448e-05,7.554793287452
"RYBP",4.12396375672179,1.37465458557393,37.8109987136235,3.22998160919117e-07,1.98080378481448e-05,7.49889368931092
"PCNP",4.12396375672179,1.37465458557393,37.8109987136235,3.22998160919117e-07,1.98080378481448e-05,7.49889368931092
"LATS1",4.12396375672179,1.37465458557393,37.8109987136235,3.22998160919119e-07,1.98080378481448e-05,7.49889368931091
"TRAP1",4.12396375672179,1.37465458557393,37.8109987136235,3.22998160919119e-07,1.98080378481448e-05,7.49889368931091
"SEPT9",5.09614640723538,1.69871546907846,37.7994204215471,3.23480256488412e-07,1.98080378481448e-05,7.49786682122113
"CABIN1",5.19615871138938,1.73205290379646,37.7031256488347,3.27523519455048e-07,1.98080378481448e-05,7.48930397820233
"ALS2CR11",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"ARL4C",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"CAMK4",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"ATG12",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"CASC15",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"HDAC9",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"CDK6",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"GHITM",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"CCNB1IP1",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"TMED3",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"WSCD1",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"HEATR6",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"SOCS6",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"ZNF566",3.16992500144231,1.05664166714744,37.4196436527797,3.39784731631615e-07,1.98080378481448e-05,7.46386027163752
"APPBP2",4.69077147559229,1.5635904918641,37.3614788700789,3.42368396382085e-07,1.98080378481448e-05,7.45859586474353
"ATP11C",3.8036651568748,1.26788838562493,37.2108270535942,3.49171095452831e-07,1.98080378481448e-05,7.44489044011976
"ESCO1",3.8036651568748,1.26788838562493,37.2108270535942,3.49171095452831e-07,1.98080378481448e-05,7.44489044011976
"LAMA3",3.8036651568748,1.26788838562493,37.2108270535942,3.49171095452831e-07,1.98080378481448e-05,7.44489044011976
"AKIRIN1",3.8036651568748,1.26788838562493,37.2108270535942,3.49171095452835e-07,1.98080378481448e-05,7.44489044011976
"AP3S1",3.8036651568748,1.26788838562493,37.2108270535942,3.49171095452835e-07,1.98080378481448e-05,7.44489044011976
"KRBOX4",3.8036651568748,1.26788838562493,37.2108270535942,3.49171095452835e-07,1.98080378481448e-05,7.44489044011976
"PPP5C",4.3146783100398,1.4382261033466,36.9823970259582,3.59799139804017e-07,1.98080378481448e-05,7.42391435321346
"KLHL2",4.3146783100398,1.4382261033466,36.9823970259581,3.5979913980402e-07,1.98080378481448e-05,7.42391435321345
"ENDOD1",4.3146783100398,1.4382261033466,36.9823970259581,3.5979913980402e-07,1.98080378481448e-05,7.42391435321345
"MUL1",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"RP11-337C18.8",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"LAMTOR2",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"IMP4",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"BDH1",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"ABLIM3",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"ING3",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"FAM199X",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"DDX26B",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"GLIPR2",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"MFSD14B",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"PTCH1",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"PRPF19",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"TSPAN15",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"SLC2A13",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"FEM1B",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"MRPS11",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"TMC7",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"ZFP90",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"INTS2",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"EPB41L3",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706028e-07,1.98080378481448e-05,7.37914719873074
"ARID3A",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"MYDGF",3.39067985676233,1.13022661892078,36.5033354970266,3.83381377706029e-07,1.98080378481448e-05,7.37914719873074
"SCAMP2",4.03840779852541,1.34613593284181,36.1372995836402,4.02661860000039e-07,2.02811737487087e-05,7.34421761191046
"AMY2B",4.03840779852541,1.34613593284181,36.1372995836401,4.02661860000043e-07,2.02811737487087e-05,7.34421761191045
"SCAP",4.63339327034745,1.54446442344915,36.1031521241477,4.04519424835425e-07,2.02811737487087e-05,7.34092644440158
"C11orf58",4.76957940555401,1.58985980185134,35.9072235012136,4.15379317004134e-07,2.02811737487087e-05,7.32193379410209
"WHSC1",4.76957940555401,1.58985980185134,35.9072235012135,4.15379317004139e-07,2.02811737487087e-05,7.32193379410208
"C7orf50",4.23989013201455,1.41329671067152,35.4409626121687,4.42667686297773e-07,2.02811737487087e-05,7.27597958192894
"BAALC-AS1",4.23989013201455,1.41329671067152,35.4409626121687,4.42667686297773e-07,2.02811737487087e-05,7.27597958192894
"GRIA4",4.23989013201455,1.41329671067152,35.4409626121687,4.42667686297773e-07,2.02811737487087e-05,7.27597958192894
"STAT5B",4.23989013201455,1.41329671067152,35.4409626121686,4.42667686297776e-07,2.02811737487087e-05,7.27597958192893
"ZNF345",4.23989013201455,1.41329671067152,35.4409626121686,4.42667686297776e-07,2.02811737487087e-05,7.27597958192893
"RP11-31F15.2",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"TAF5L",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"FAM13A-AS1",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"ARFIP2",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"CYTH2",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"MN1",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"PATZ1",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"CCT8",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"IL10RB",3,1,35.41374982287,4.443259950213e-07,2.02811737487087e-05,7.27326413576315
"TMEM9",3.69615871138938,1.23205290379646,35.2837130938296,4.52354290063358e-07,2.02811737487087e-05,7.26023683605908
"HDAC2",3.69615871138938,1.23205290379646,35.2837130938296,4.52354290063358e-07,2.02811737487087e-05,7.26023683605908
"PDP2",3.69615871138938,1.23205290379646,35.2837130938296,4.52354290063358e-07,2.02811737487087e-05,7.26023683605908
"STK4",3.69615871138938,1.23205290379646,35.2837130938296,4.52354290063358e-07,2.02811737487087e-05,7.26023683605908
"ATG4D",3.69615871138938,1.23205290379646,35.2837130938296,4.52354290063358e-07,2.02811737487087e-05,7.26023683605908
"TMEM147",3.69615871138938,1.23205290379646,35.2837130938296,4.52354290063358e-07,2.02811737487087e-05,7.26023683605908
"BRK1",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"INTS8",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"RP11-333E1.1",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"CTD-2047H16.4",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"LINC00667",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"ZNF790",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"CBX7",3.69615871138938,1.23205290379646,35.2837130938295,4.52354290063364e-07,2.02811737487087e-05,7.26023683605907
"MEAF6",3.94740888165397,1.31580296055132,34.3571718846018,5.14908111489805e-07,2.07536494908735e-05,7.16489140168139
"SLC22A5",3.94740888165397,1.31580296055132,34.3571718846018,5.14908111489805e-07,2.07536494908735e-05,7.16489140168139
"ZNRD1-AS1",3.94740888165397,1.31580296055132,34.3571718846018,5.14908111489805e-07,2.07536494908735e-05,7.16489140168139
"FOXRED1",3.94740888165397,1.31580296055132,34.3571718846018,5.14908111489805e-07,2.07536494908735e-05,7.16489140168139
"LMF1",3.94740888165397,1.31580296055132,34.3571718846018,5.14908111489805e-07,2.07536494908735e-05,7.16489140168139
"PPP1R10",3.94740888165397,1.31580296055132,34.3571718846017,5.14908111489811e-07,2.07536494908735e-05,7.16489140168138
"CMB9-22P13.1",3.94740888165397,1.31580296055132,34.3571718846017,5.14908111489811e-07,2.07536494908735e-05,7.16489140168138
"SLC15A4",3.94740888165397,1.31580296055132,34.3571718846017,5.14908111489811e-07,2.07536494908735e-05,7.16489140168138
"RP11-486O13.4",3.94740888165397,1.31580296055132,34.3571718846017,5.14908111489811e-07,2.07536494908735e-05,7.16489140168138
"SOCS5",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"ABHD5",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"PODXL2",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"WASF1",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"ADAM9",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"C5",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"DNAJC24",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"C1QTNF4",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"MBD1",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"MIATNB",3.24592654816484,1.08197551605495,34.3099951540658,5.18363042583103e-07,2.07536494908735e-05,7.15991549979111
"RP11-57H12.3",3.24592654816484,1.08197551605495,34.3099951540657,5.18363042583108e-07,2.07536494908735e-05,7.1599154997911
