"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TBC1D5",4.44208719891566,7.04269607043113,4.12866543233454,3.65783619373468e-05,0.000117383977231651,1.99516839145426
"SUMF2",4.44175677165783,3.6650540629947,4.12835831913837,3.66272159416352e-05,0.000117506000285849,1.99399437471381
"ARL8B",4.44168120312056,4.95748997223292,4.12828808251455,3.66383975276189e-05,0.00011750712774894,1.99372588998318
"MAP9",4.44158103683147,2.66494862209888,4.12819498369034,3.66532237437431e-05,0.000117519940194921,1.99337001982729
"CHUK",4.44100628838729,3.16460377303237,4.12766078795588,3.67384059055908e-05,0.000117758258220284,1.99132821234421
"FANCC",4.44080896110243,4.45696662702203,4.12747738355533,3.67676946537666e-05,0.000117817332248484,1.99062726341528
"DSCAML1",4.44053490073279,6.055000797202,4.12722266015081,3.68084094629613e-05,0.000117912973921798,1.98965379374442
"TMEM261",4.44043838921363,4.45674428388876,4.12713295822576,3.68227575443083e-05,0.000117924120234872,1.98931099658324
"ZNF586",4.44036083933668,3.66421650360201,4.12706088006027,3.68342905021922e-05,0.000117926247255469,1.9890355542643
"LGMN",4.43967715063475,3.16380629038085,4.12642543060065,3.69361148999195e-05,0.000118217358897973,1.98660743101146
"RCHY1",4.43932594080237,3.66359556448142,4.12609900119269,3.69885257860059e-05,0.000118350193092941,1.98536025320478
"ELAVL3",4.43925251489428,5.48547960382393,4.12603075601987,3.699949202185e-05,0.000118350379845835,1.98509952364935
"SLC4A7",4.43913753792162,2.66348252275297,4.12592389151423,3.70166701540169e-05,0.000118369010300505,1.98469125823443
"CAMTA1",4.43904465889737,5.955908045699,4.12583756578498,3.70305522714543e-05,0.000118369010300505,1.98436146693139
"NTPCR",4.43899454108513,3.16339672465108,4.12579098415124,3.7038045158545e-05,0.000118369010300505,1.98418351337814
"USP14",4.43858319281512,4.61659521349333,4.12540865951263,3.70995983906754e-05,0.000118530813468442,1.98272301304636
"ZNF692",4.4384630238465,4.61652311211216,4.12529696934434,3.71175985280994e-05,0.000118553413020276,1.98229637624389
"CDC37",4.43780908607019,4.45516670200269,4.12468917166478,3.72156974411035e-05,0.000118813907485554,1.97997489844523
"SUGT1",4.43775705033155,5.06633169122773,4.12464080742838,3.72235140218498e-05,0.000118813907485554,1.97979018636928
"CTD-2349P21.11",4.43762765176145,2.66257659105687,4.12452053887456,3.72429584662088e-05,0.000118813907485554,1.97933086762923
"AP4E1",4.43762765176145,3.66257659105687,4.12452053887456,3.72429584662092e-05,0.000118813907485554,1.97933086762922
"ARPC5",4.43721197626977,4.85848589715124,4.12413419233143,3.73054863926344e-05,0.000118953126969792,1.97785545860949
"MRPS22",4.43719179612527,3.16231507767516,4.12411543604383,3.73085245233365e-05,0.000118953126969792,1.97778383421599
"IDH2",4.43693551935048,3.45464256197087,4.12387724147138,3.73471275575322e-05,0.000119038292643289,1.97687427201057
"RP11-71N10.1",4.43679888109215,4.45456057901587,4.12375024404232,3.73677249082684e-05,0.000119038292643289,1.97638934514596
"EFCAB7",4.43676823890997,3.82302499078966,4.12372176389038,3.73723455031121e-05,0.000119038292643289,1.97628059861041
"RP11-156K13.1",4.43672331255489,3.16203398753293,4.1236800074185,3.73791210171138e-05,0.000119038292643289,1.97612116010063
"C12orf65",4.43649211794704,2.66189527076822,4.1234651252825,3.74140067993962e-05,0.000119114428924134,1.97530070233938
"FMNL2",4.43640631593843,8.38744934547922,4.12338537723365,3.74269616345944e-05,0.000119120719781563,1.97499622115096
"YAF2",4.43576770263578,4.66146062158147,4.12279182277395,3.75235166964996e-05,0.00011930084397469,1.97273019189078
"CYB5R1",4.43566755286199,3.1614005317172,4.12269873929977,3.75386802640486e-05,0.00011930084397469,1.97237485413012
"WBSCR16",4.43566755286199,3.1614005317172,4.12269873929977,3.75386802640486e-05,0.00011930084397469,1.97237485413012
"CCDC171",4.43566755286199,4.1614005317172,4.12269873929977,3.75386802640486e-05,0.00011930084397469,1.97237485413012
"ATRX",4.43566018120583,6.51161596779404,4.12269188776791,3.7539796628263e-05,0.00011930084397469,1.97234869934269
"RP11-285F7.2",4.43559592907503,4.4538388078056,4.12263216909524,3.75495283109277e-05,0.00011930084397469,1.9721207333037
"KCNJ2",4.43540661806753,5.06492143186932,4.12245621536502,3.75782154442509e-05,0.000119308150512608,1.97144907858258
"AARS",4.43538800935205,4.85739151700061,4.12243891963063,3.75810364279819e-05,0.000119308150512608,1.97138305844554
"PITPNC1",4.43531511726765,4.16118907036059,4.12237117061632,3.75920884221981e-05,0.000119308150512608,1.97112445404217
"WDR7",4.43529055955373,5.85733304712162,4.12234834562888,3.7595812590102e-05,0.000119308150512608,1.97103732986071
"TDRD7",4.43497388986056,2.66098433391633,4.12205401930048,3.76438668175138e-05,0.000119405909255853,1.96991391395109
"PSMD8",4.43489100462278,4.45341585313425,4.12197698222293,3.76564541733102e-05,0.000119405909255853,1.96961988391753
"CDC42SE2",4.43480373128141,5.46823716082645,4.1218958666546,3.76697122465434e-05,0.000119405909255853,1.96931029330886
"NIPA1",4.43472528231825,4.74579767011211,4.12182295284002,3.7681633551976e-05,0.000119405909255853,1.96903201121159
"UGDH-AS1",4.43468932752857,4.16081359651714,4.12178953492393,3.76870985308004e-05,0.000119405909255853,1.96890447038989
"STK38",4.43454037687285,3.95320547648429,4.12165109382724,3.7709746428716e-05,0.000119405909255853,1.96837611538785
"NDST1",4.43447888485219,3.95316858127189,4.12159394051874,3.77191000377291e-05,0.000119405909255853,1.96815799720866
"RAD9A",4.43445176116375,3.45315230705883,4.12156873060506,3.77232265474497e-05,0.000119405909255853,1.9680617878085
"PIGC",4.43443573949671,4.4531426940586,4.1215538393839,3.77256642330936e-05,0.000119405909255853,1.96800495824123
"RABL6",4.43408541822917,4.45293250129808,4.12122823584603,3.77790027718645e-05,0.000119508248105451,1.96676240441484
"HDGF",4.43398666541622,3.95287324961031,4.12113645076687,3.77940514171668e-05,0.000119508248105451,1.96641215598992
"TFAM",4.4339273206837,2.66035639241022,4.12108129323962,3.7803097520399e-05,0.000119508248105451,1.96620168068383
"MARCH7",4.43390278630549,4.74530417250445,4.12105848994137,3.78068379729474e-05,0.000119508248105451,1.96611466652602
"TPP1",4.43386191053295,4.61376244412403,4.12102049825378,3.78130705756694e-05,0.000119508248105451,1.96596969669403
"USP39",4.43356602770129,6.38985542593942,4.12074549212167,3.78582149054002e-05,0.000119616083786719,1.96492035981795
"PPP1R13B",4.43342529685309,3.45253642847243,4.12061469086491,3.78797048688185e-05,0.000119649140560897,1.96442128795011
"GLTSCR1L",4.43331045448719,5.15998627269231,4.12050795146854,3.78972501746569e-05,0.000119669721884467,1.96401403578889
"SSPN",4.43309387384064,3.15985632430438,4.1203066521719,3.7930359775815e-05,0.000119681627556506,1.9632460296718
"SLC39A13",4.43306933946243,2.65984160367746,4.12028384887366,3.7934112181274e-05,0.000119681627556506,1.96315903187011
"YIF1A",4.43306933946243,2.65984160367746,4.12028384887366,3.79341121812742e-05,0.000119681627556506,1.9631590318701
"RAB21",4.43291003721777,4.82071006977434,4.12013578656841,3.79584852045566e-05,0.000119723710601581,1.96259416498787
"RP11-160H12.2",4.43272266707041,3.15963360024224,4.11996163675643,3.79871716040672e-05,0.000119779369922734,1.96192979862735
"ZNF326",4.43247478204357,4.45196611958672,4.11973124183267,3.80251544662508e-05,0.000119864301556892,1.96105090521664
"GUSB",4.43191102248373,3.65914661349023,4.11920725963632,3.81116723504968e-05,0.00012010213331481,1.95905223992783
"RECQL5",4.43153964471005,3.15892378682603,4.11886208528295,3.8168768247478e-05,0.000120238243568841,1.95773575393917
"CDC42",4.43148596599705,4.81985562704191,4.11881219399607,3.81770275663278e-05,0.000120238243568841,1.95754547899643
"NT5C3B",4.4313487710905,2.6588092626543,4.1186846791944,3.81981448824542e-05,0.000120269840967681,1.95705917466197
"AJAP1",4.43077387760068,2.65846432656041,4.11815034864833,3.82867542884935e-05,0.000120513862497869,1.95502155722744
"MAP4K5",4.43040363676313,7.72801785825727,4.11780623101191,3.8343923457339e-05,0.000120658807863146,1.9537094381269
"LRRC58",4.42933036348276,3.81856226553334,4.1168086850175,3.85101066771908e-05,0.000121146609871708,1.94990641907004
"CUL5",4.42903544011698,4.97934935895755,4.11653457065392,3.85558915557551e-05,0.000121243228095317,1.94886155380239
"RTN4",4.4289223766932,8.42401829216884,4.11642948468228,3.85734575930956e-05,0.000121243228095317,1.9484610070255
